,Age,dTS,CO2
258,275218,-3.962258064516129,231.0
259,277298,-3.39803738317757,234.9
260,277925,-4.0426431718061675,220.4
261,278602,-4.439612068965517,217.2
262,279543,-5.1157258064516125,207.7
263,280361,-6.071111111111111,206.0
264,281200,-5.882413793103448,206.7
265,282301,-5.785114503816794,212.7
266,283492,-5.547115384615385,213.2
267,285301,-7.140743243243244,217.1
268,286217,-6.284392857142857,224.4
269,287102,-5.93125,231.0
270,287846,-5.113931297709923,236.2
271,288492,-5.942714285714286,239.0
272,289433,-5.83273381294964,236.0
273,290571,-5.5852877697841725,240.2
274,291769,-4.988490566037736,240.7
275,292474,-3.5593548387096776,250.2
276,293002,-3.780703125,248.6
277,293676,-5.295379061371841,244.9
278,294615,-5.598062283737024,225.9
279,295849,-4.8034686346863475,227.9
280,296380,-4.7,226.2
281,297131,-4.814873646209386,233.2
282,298051,-4.534264705882353,237.9
283,299020,-4.0293536121673,239.0
284,299877,-3.150996015936255,241.9
285,300646,-3.067142857142857,251.7
286,301496,-3.219607843137255,256.8
287,302456,-3.4073003802281367,257.2
288,303334,-1.7846280991735537,246.9
289,303953,-2.963139534883721,272.7
290,304590,-3.855384615384615,251.7
291,305304,-4.547739726027397,245.2
292,305306,-4.551164383561644,244.7
293,307131,-4.936644736842105,255.9
294,308101,-4.508657718120806,249.2
295,310035,-3.3648398576512455,257.2
296,310039,-3.363843416370107,256.3
297,310930,-2.6336802973977695,260.4
298,311774,-2.2441666666666666,260.3
299,312669,-2.241132075471698,260.6
300,313493,-1.5308984375,266.3
301,314374,-1.3300392156862746,264.0
302,315143,-0.9740637450199203,266.2
303,315940,-0.4612244897959184,270.2
304,316681,-0.18922131147540983,271.9
305,317445,-0.3953225806451613,275.2
306,318980,0.014390243902439025,265.0
307,319754,0.1863673469387755,271.8
308,320378,-0.17146245059288537,272.7
309,321386,1.3591304347826088,273.2
310,322111,2.7537383177570094,282.4
311,322582,3.092264150943396,289.2
312,322827,3.180956937799043,288.4
313,323485,3.137887323943662,298.7
314,324189,2.8027272727272727,278.2
315,324991,1.7931063829787233,285.8
316,325527,0.68,278.7
317,326239,-0.6997508896797153,270.5
318,327114,-2.4000934579439255,255.7
319,328097,-2.842005988023952,241.9
320,329267,-4.135537190082645,239.7
321,330208,-4.967518987341773,234.2
322,332293,-6.817891304347826,250.2
323,333627,-8.034989979959919,200.7
324,335290,-7.758686868686869,205.2
325,336972,-7.3221106557377045,204.9
326,338282,-7.231434426229508,211.9
327,340165,-7.23728370221328,220.4
328,342998,-6.602268041237113,221.2
329,344735,-6.5168431771894095,216.2
330,346105,-6.712730923694779,209.5
331,347610,-6.879315068493151,209.2
332,350765,-7.64,193.0
333,352412,-7.7008214285714285,186.2
334,354372,-7.472455516014235,185.8
335,356838,-7.146342342342343,201.2
336,359688,-5.992935606060606,206.4
337,362766,-6.046382189239332,201.9
338,364499,-6.101376146788991,200.0
339,366221,-5.153702290076335,214.7
340,368117,-4.670760233918129,224.6
341,369563,-4.843757115749526,229.7
342,373014,-6.035470085470086,227.0
343,374561,-5.319698581560283,240.0
344,376758,-3.964163424124514,239.1
345,378194,-3.697007874015748,246.9
346,379633,-4.778148148148148,245.9
347,383504,-2.5594477317554243,258.1
348,384909,-4.251487889273356,264.7
349,386579,-5.634835680751174,259.3
350,390589,-5.347384615384615,255.2
351,392451,-5.198641221374046,250.2
352,394628,-4.610141065830721,266.3
353,396713,-2.528443649373882,274.7
354,398554,-1.8354744525547444,277.1
355,400390,-1.5977818181818182,278.0
356,405844,0.13762452107279693,279.7
357,409022,1.1295238095238096,281.2
358,409022,1.1295238095238096,283.7
359,410831,1.5266129032258065,276.3
360,414085,0.8443223443223443,285.5
361,415434,1.149065934065934,286.9
362,417160,1.396855575868373,277.6
